manufacturer,date,avg_price,tdp,units,sales,date_new,channel,SOM
BIMBO,ABRIL 2019,2.513028548855159,18,658.17,1654,2019-04-01,TOTAL,0.9124862768463503
BIMBO,ABRIL 2020,3.4143484404199396,30,658.1900000000002,2247.2900000000004,2020-04-01,TOTAL,1.3936912939891783
BIMBO,ABRIL 2021,3.9002740528440834,53,956.0199999999999,3728.7400000000002,2021-04-01,TOTAL,2.0319447917688995
BIMBO,ABRIL 2022,4.031396364695319,70,1648.2800000000002,6644.870000000001,2022-04-01,TOTAL,3.4475532580871744
BIMBO,AGOSTO 2019,2.7820931486002345,22,630.82,1755,2019-08-01,TOTAL,0.9777649018613747
BIMBO,AGOSTO 2020,3.5739607983212043,31,671.91,2401.38,2020-08-01,TOTAL,1.4814740783678797
BIMBO,AGOSTO 2021,3.8696768110628037,52,1336.3700000000001,5171.32,2021-08-01,TOTAL,2.848893327694295
BIMBO,AGOSTO 2022,4.762094947223573,88,1787.7300000000002,8513.34,2022-08-01,TOTAL,4.074130809837191
BIMBO,DICIEMBRE 2019,2.8071404689566943,29,687.9100000000001,1931.0599999999997,2019-12-01,TOTAL,1.0155751571423555
BIMBO,DICIEMBRE 2020,4.012790995139421,48,938.1600000000001,3764.6400000000003,2020-12-01,TOTAL,2.0561510164228722
BIMBO,DICIEMBRE 2021,4.0909800782172745,61,1523.96,6234.489999999998,2021-12-01,TOTAL,3.0161238675124893
BIMBO,DICIEMBRE 2022,4.735179540393886,98,2312.8500000000004,10951.76,2022-12-01,TOTAL,4.433540811289358
BIMBO,ENERO 2019,2.7159932100169755,18,571.43,1552,2019-01-01,TOTAL,0.8068624902521445
BIMBO,ENERO 2020,2.8540666266506602,28,666.4,1901.95,2020-01-01,TOTAL,0.9985293093119298
BIMBO,ENERO 2021,3.7683610202274003,48,1106.42,4169.39,2021-01-01,TOTAL,2.1452561164823263
BIMBO,ENERO 2022,3.9089995554120964,58,1641.9700000000003,6418.460000000001,2022-01-01,TOTAL,3.2761915884475425
BIMBO,ENERO 2023,4.781661112304703,98,2001.43,9570.160000000002,2023-01-01,TOTAL,4.115464677217505
BIMBO,FEBRERO 2019,2.491437781210127,17,595.64,1484,2019-02-01,TOTAL,0.8817063751411087
BIMBO,FEBRERO 2020,3.1115185747203946,29,711.72,2214.5299999999993,2020-02-01,TOTAL,1.2656985646961243
BIMBO,FEBRERO 2021,3.7947189649950244,53,924.44,3507.9900000000002,2021-02-01,TOTAL,2.0821712098054634
BIMBO,FEBRERO 2022,3.9591431759415774,64,1496.69,5925.610000000001,2022-02-01,TOTAL,3.303159959721764
BIMBO,FEBRERO 2023,4.834335217310813,102,1836.5399999999997,8878.449999999999,2023-02-01,TOTAL,4.186003398704065
BIMBO,JULIO 2019,2.711745828960776,23,657.51,1783,2019-07-01,TOTAL,0.9805539057172397
BIMBO,JULIO 2020,3.3662260549939913,34,707.3499999999999,2381.0999999999995,2020-07-01,TOTAL,1.5108054856496316
BIMBO,JULIO 2021,3.788349859081881,52,1465.39,5551.409999999998,2021-07-01,TOTAL,2.9640325121435716
BIMBO,JULIO 2022,4.6184361612860485,86,1811.44,8366.019999999999,2022-07-01,TOTAL,4.158490913798604
BIMBO,JUNIO 2019,2.8905370505264547,24,604.0400000000001,1746,2019-06-01,TOTAL,0.9627207613544257
BIMBO,JUNIO 2020,3.2447766472604607,30,735.16,2385.43,2020-06-01,TOTAL,1.5272338988137992
BIMBO,JUNIO 2021,3.781271004705053,52,1249.72,4725.529999999999,2021-06-01,TOTAL,2.6188302983247453
BIMBO,JUNIO 2022,4.416692905757261,79,1651.4800000000002,7294.080000000002,2022-06-01,TOTAL,3.712766927275207
BIMBO,MARZO 2019,2.4700538303616173,17,618.61,1528,2019-03-01,TOTAL,0.821403804905845
BIMBO,MARZO 2020,3.5507185477771235,33,713.9400000000002,2535,2020-03-01,TOTAL,1.4438503678913648
BIMBO,MARZO 2021,3.9932726719351836,49,952.8299999999998,3804.91,2021-03-01,TOTAL,2.11142552950866
BIMBO,MARZO 2022,4.047294382198747,66,1529.78,6191.469999999999,2022-03-01,TOTAL,3.303652871187862
BIMBO,MARZO 2023,5.057524984096368,108,1949.2399999999998,9858.330000000004,2023-03-01,TOTAL,4.390334035430744
BIMBO,MAYO 2019,2.506498329001114,19,538.6,1350,2019-05-01,TOTAL,0.7512228238187717
BIMBO,MAYO 2020,3.316093219965637,34,680.9699999999999,2258.16,2020-05-01,TOTAL,1.513885969825657
BIMBO,MAYO 2021,3.71911043640615,53,1146.1799999999998,4262.77,2021-05-01,TOTAL,2.3815264916797396
BIMBO,MAYO 2022,4.12220391833853,70,1699.7000000000003,7006.510000000001,2022-05-01,TOTAL,3.6564473462418214
BIMBO,NOVIEMBRE 2019,2.675308153341626,26,707.44,1892.62,2019-11-01,TOTAL,1.0870183887727338
BIMBO,NOVIEMBRE 2020,3.830042395708898,41,853.86,3270.3199999999997,2020-11-01,TOTAL,1.9086181200246914
BIMBO,NOVIEMBRE 2021,3.9461864499196655,57,1375.49,5427.9400000000005,2021-11-01,TOTAL,2.9945769862228633
BIMBO,NOVIEMBRE 2022,4.711952351186393,96,1967.7299999999996,9271.85,2022-11-01,TOTAL,4.430675296110278
BIMBO,OCTUBRE 2019,2.7213274526322744,23,605.37,1647.41,2019-10-01,TOTAL,0.9501548361168769
BIMBO,OCTUBRE 2020,3.8447564696575878,34,707.9200000000001,2721.78,2020-10-01,TOTAL,1.627696082066435
BIMBO,OCTUBRE 2021,3.8972901575881918,52,1423.33,5547.13,2021-10-01,TOTAL,3.179266601019531
BIMBO,OCTUBRE 2022,4.771293587222409,97,2084.9,9947.670000000002,2022-10-01,TOTAL,4.596988586076892
BIMBO,SEPTIEMBRE 2019,2.7806290502964472,23,652.73,1815,2019-09-01,TOTAL,1.0230943106937311
BIMBO,SEPTIEMBRE 2020,3.801983531788546,36,653.3799999999999,2484.14,2020-09-01,TOTAL,1.5285042908616655
BIMBO,SEPTIEMBRE 2021,3.924163952098615,53,1280.13,5023.4400000000005,2021-09-01,TOTAL,2.9372917127740537
BIMBO,SEPTIEMBRE 2022,4.614820473644003,92,2028.9499999999996,9363.24,2022-09-01,TOTAL,4.325488475938442
DIANA,ABRIL 2019,0.7257495029395941,604,41151.94,29866,2019-04-01,TOTAL,16.47661133270441
DIANA,ABRIL 2020,0.762872723172063,766,35293.62000000001,26924.539999999997,2020-04-01,TOTAL,16.69766562956422
DIANA,ABRIL 2021,0.9393704724525708,742,30139.110000000004,28311.79,2021-04-01,TOTAL,15.428266448225088
DIANA,ABRIL 2022,1.17382068587422,651,25317.47,29718.16999999999,2022-04-01,TOTAL,15.418657371459258
DIANA,AGOSTO 2019,0.7267643248963391,599,43015.32000000001,31262,2019-08-01,TOTAL,17.417029266091337
DIANA,AGOSTO 2020,0.757268038864763,773,34547.49,26161.71000000001,2020-08-01,TOTAL,16.13984259499861
DIANA,AGOSTO 2021,1.0412470788017307,673,24921.280000000002,25949.21,2021-08-01,TOTAL,14.295485722782205
DIANA,AGOSTO 2022,1.2074408603016527,626,24833.149999999998,29984.559999999987,2022-08-01,TOTAL,14.349364610765198
DIANA,DICIEMBRE 2019,0.7630645070014084,755,41172.43000000001,31417.22,2019-12-01,TOTAL,16.52281552021996
DIANA,DICIEMBRE 2020,0.8202624930578991,771,36732.40000000002,30130.209999999992,2020-12-01,TOTAL,16.456357557836753
DIANA,DICIEMBRE 2021,1.1683760364293032,655,26486.369999999995,30946.039999999997,2021-12-01,TOTAL,14.97108662440652
DIANA,DICIEMBRE 2022,1.2797650885084981,635,27838.569999999992,35626.83000000001,2022-12-01,TOTAL,14.422613788274038
DIANA,ENERO 2019,0.7222459473571953,643,42477.22,30679,2019-01-01,TOTAL,15.949571094359241
DIANA,ENERO 2020,0.7844646637640619,771,39833.189999999995,31247.72999999999,2020-01-01,TOTAL,16.40514958567032
DIANA,ENERO 2021,0.7992903620740468,770,39696.30000000001,31728.869999999995,2021-01-01,TOTAL,16.325302367150247
DIANA,ENERO 2022,1.172884791815045,628,24753.710000000003,29033.25,2022-01-01,TOTAL,14.819518924367308
DIANA,ENERO 2023,1.2777062923844686,644,25817.239999999998,32986.85,2023-01-01,TOTAL,14.185365342655947
DIANA,FEBRERO 2019,0.6927220683398607,617,39770.64,27550,2019-02-01,TOTAL,16.36860554928406
DIANA,FEBRERO 2020,0.7357022207918875,775,40518.88000000001,29809.830000000005,2020-02-01,TOTAL,17.0375921955609
DIANA,FEBRERO 2021,0.7953816157297564,715,34055.2,27086.879999999997,2021-02-01,TOTAL,16.077446543306966
DIANA,FEBRERO 2022,1.1288702232558565,636,23915.610000000004,26997.62,2022-02-01,TOTAL,15.049498261239515
