Manufacturer,PPU,TDP,Units,Sales,Date,Channel,SOM,Month,Year,Quarter,units_avg_y,units_avg_q,monthly_index,quarterly_index,Model_x,Model_y,BIMBO PPU,DIANA PPU,DINANT PPU,KELLOGGS PPU,OTHERS PPU,PEPSICO PPU,SEÑORIAL PPU,BIMBO TDP,DIANA TDP,DINANT TDP,KELLOGGS TDP,OTHERS TDP,PEPSICO TDP,SEÑORIAL TDP
BIMBO,10.23,522.0,,,2024-03-01,OT,,,,,,,0.98,3.0,exponential_smoothing,prophet,10.23,6.79,8.87,15.6,12.97,10.14,7.59,522.0,1052.0,367.0,926.0,1652.0,2497.0,927.0
DIANA,6.79,1052.0,,,2024-03-01,OT,,,,,,,0.95,1.21,exponential_smoothing,exponential_smoothing,10.23,6.79,8.87,15.6,12.97,10.14,7.59,522.0,1052.0,367.0,926.0,1652.0,2497.0,927.0
DINANT,8.87,367.0,,,2024-03-01,OT,,,,,,,0.92,1.37,exponential_smoothing,prophet,10.23,6.79,8.87,15.6,12.97,10.14,7.59,522.0,1052.0,367.0,926.0,1652.0,2497.0,927.0
KELLOGGS,15.6,926.0,,,2024-03-01,OT,,,,,,,0.87,0.9,exponential_smoothing,prophet,10.23,6.79,8.87,15.6,12.97,10.14,7.59,522.0,1052.0,367.0,926.0,1652.0,2497.0,927.0
OTHERS,12.97,1652.0,,,2024-03-01,OT,,,,,,,0.96,1.15,exponential_smoothing,exponential_smoothing,10.23,6.79,8.87,15.6,12.97,10.14,7.59,522.0,1052.0,367.0,926.0,1652.0,2497.0,927.0
PEPSICO,10.14,2497.0,,,2024-03-01,OT,,,,,,,1.03,1.23,exponential_smoothing,prophet,10.23,6.79,8.87,15.6,12.97,10.14,7.59,522.0,1052.0,367.0,926.0,1652.0,2497.0,927.0
SEÑORIAL,7.59,927.0,,,2024-03-01,OT,,,,,,,1.18,0.51,prophet,exponential_smoothing,10.23,6.79,8.87,15.6,12.97,10.14,7.59,522.0,1052.0,367.0,926.0,1652.0,2497.0,927.0
BIMBO,5.0,161.0,,,2024-03-01,TRADITIONAL,,,,,,,0.99,2.14,prophet,exponential_smoothing,5.0,1.18,1.72,6.42,1.47,2.34,1.05,161.0,645.0,411.0,51.0,346.0,1757.0,676.0
DIANA,1.18,645.0,,,2024-03-01,TRADITIONAL,,,,,,,0.99,0.64,prophet,exponential_smoothing,5.0,1.18,1.72,6.42,1.47,2.34,1.05,161.0,645.0,411.0,51.0,346.0,1757.0,676.0
DINANT,1.72,411.0,,,2024-03-01,TRADITIONAL,,,,,,,0.97,1.17,prophet,prophet,5.0,1.18,1.72,6.42,1.47,2.34,1.05,161.0,645.0,411.0,51.0,346.0,1757.0,676.0
KELLOGGS,6.42,51.0,,,2024-03-01,TRADITIONAL,,,,,,,0.99,1.33,prophet,exponential_smoothing,5.0,1.18,1.72,6.42,1.47,2.34,1.05,161.0,645.0,411.0,51.0,346.0,1757.0,676.0
OTHERS,1.47,346.0,,,2024-03-01,TRADITIONAL,,,,,,,1.03,0.77,exponential_smoothing,exponential_smoothing,5.0,1.18,1.72,6.42,1.47,2.34,1.05,161.0,645.0,411.0,51.0,346.0,1757.0,676.0
PEPSICO,2.34,1757.0,,,2024-03-01,TRADITIONAL,,,,,,,1.01,0.93,prophet,exponential_smoothing,5.0,1.18,1.72,6.42,1.47,2.34,1.05,161.0,645.0,411.0,51.0,346.0,1757.0,676.0
SEÑORIAL,1.05,676.0,,,2024-03-01,TRADITIONAL,,,,,,,1.06,1.13,exponential_smoothing,exponential_smoothing,5.0,1.18,1.72,6.42,1.47,2.34,1.05,161.0,645.0,411.0,51.0,346.0,1757.0,676.0
BIMBO,10.53,541.0,,,2024-04-01,OT,,,,,,,1.14,3.12,exponential_smoothing,prophet,10.53,6.63,8.82,16.25,12.9,10.19,7.77,541.0,1090.0,305.0,941.0,1676.0,2331.0,923.0
DIANA,6.63,1090.0,,,2024-04-01,OT,,,,,,,1.11,1.57,exponential_smoothing,exponential_smoothing,10.53,6.63,8.82,16.25,12.9,10.19,7.77,541.0,1090.0,305.0,941.0,1676.0,2331.0,923.0
DINANT,8.82,305.0,,,2024-04-01,OT,,,,,,,0.92,1.49,exponential_smoothing,prophet,10.53,6.63,8.82,16.25,12.9,10.19,7.77,541.0,1090.0,305.0,941.0,1676.0,2331.0,923.0
KELLOGGS,16.25,941.0,,,2024-04-01,OT,,,,,,,0.84,1.02,exponential_smoothing,prophet,10.53,6.63,8.82,16.25,12.9,10.19,7.77,541.0,1090.0,305.0,941.0,1676.0,2331.0,923.0
OTHERS,12.9,1676.0,,,2024-04-01,OT,,,,,,,1.01,1.15,exponential_smoothing,exponential_smoothing,10.53,6.63,8.82,16.25,12.9,10.19,7.77,541.0,1090.0,305.0,941.0,1676.0,2331.0,923.0
PEPSICO,10.19,2331.0,,,2024-04-01,OT,,,,,,,0.89,1.5,exponential_smoothing,prophet,10.53,6.63,8.82,16.25,12.9,10.19,7.77,541.0,1090.0,305.0,941.0,1676.0,2331.0,923.0
SEÑORIAL,7.77,923.0,,,2024-04-01,OT,,,,,,,1.03,0.51,prophet,exponential_smoothing,10.53,6.63,8.82,16.25,12.9,10.19,7.77,541.0,1090.0,305.0,941.0,1676.0,2331.0,923.0
BIMBO,5.04,172.0,,,2024-04-01,TRADITIONAL,,,,,,,1.01,2.31,prophet,exponential_smoothing,5.04,1.19,1.78,6.66,1.53,2.39,1.05,172.0,651.0,359.0,53.0,345.0,1761.0,678.0
DIANA,1.19,651.0,,,2024-04-01,TRADITIONAL,,,,,,,1.04,0.61,prophet,exponential_smoothing,5.04,1.19,1.78,6.66,1.53,2.39,1.05,172.0,651.0,359.0,53.0,345.0,1761.0,678.0
DINANT,1.78,359.0,,,2024-04-01,TRADITIONAL,,,,,,,0.91,1.12,prophet,prophet,5.04,1.19,1.78,6.66,1.53,2.39,1.05,172.0,651.0,359.0,53.0,345.0,1761.0,678.0
KELLOGGS,6.66,53.0,,,2024-04-01,TRADITIONAL,,,,,,,1.04,1.29,prophet,exponential_smoothing,5.04,1.19,1.78,6.66,1.53,2.39,1.05,172.0,651.0,359.0,53.0,345.0,1761.0,678.0
OTHERS,1.53,345.0,,,2024-04-01,TRADITIONAL,,,,,,,0.98,0.76,exponential_smoothing,exponential_smoothing,5.04,1.19,1.78,6.66,1.53,2.39,1.05,172.0,651.0,359.0,53.0,345.0,1761.0,678.0
PEPSICO,2.39,1761.0,,,2024-04-01,TRADITIONAL,,,,,,,0.96,0.9,prophet,exponential_smoothing,5.04,1.19,1.78,6.66,1.53,2.39,1.05,172.0,651.0,359.0,53.0,345.0,1761.0,678.0
SEÑORIAL,1.05,678.0,,,2024-04-01,TRADITIONAL,,,,,,,0.95,1.11,exponential_smoothing,exponential_smoothing,5.04,1.19,1.78,6.66,1.53,2.39,1.05,172.0,651.0,359.0,53.0,345.0,1761.0,678.0
BIMBO,9.85,524.0,,,2024-05-01,OT,,,,,,,0.75,2.73,exponential_smoothing,prophet,9.85,6.78,8.77,16.11,12.79,10.17,8.06,524.0,1101.0,284.0,903.0,1710.0,2456.0,904.0
DIANA,6.78,1101.0,,,2024-05-01,OT,,,,,,,0.82,1.17,exponential_smoothing,exponential_smoothing,9.85,6.78,8.77,16.11,12.79,10.17,8.06,524.0,1101.0,284.0,903.0,1710.0,2456.0,904.0
DINANT,8.77,284.0,,,2024-05-01,OT,,,,,,,0.69,1.28,exponential_smoothing,prophet,9.85,6.78,8.77,16.11,12.79,10.17,8.06,524.0,1101.0,284.0,903.0,1710.0,2456.0,904.0
KELLOGGS,16.11,903.0,,,2024-05-01,OT,,,,,,,0.8,0.96,exponential_smoothing,prophet,9.85,6.78,8.77,16.11,12.79,10.17,8.06,524.0,1101.0,284.0,903.0,1710.0,2456.0,904.0
OTHERS,12.79,1710.0,,,2024-05-01,OT,,,,,,,0.93,1.02,exponential_smoothing,exponential_smoothing,9.85,6.78,8.77,16.11,12.79,10.17,8.06,524.0,1101.0,284.0,903.0,1710.0,2456.0,904.0
PEPSICO,10.17,2456.0,,,2024-05-01,OT,,,,,,,0.84,1.26,exponential_smoothing,prophet,9.85,6.78,8.77,16.11,12.79,10.17,8.06,524.0,1101.0,284.0,903.0,1710.0,2456.0,904.0
SEÑORIAL,8.06,904.0,,,2024-05-01,OT,,,,,,,0.84,0.26,prophet,exponential_smoothing,9.85,6.78,8.77,16.11,12.79,10.17,8.06,524.0,1101.0,284.0,903.0,1710.0,2456.0,904.0
BIMBO,5.25,167.0,,,2024-05-01,TRADITIONAL,,,,,,,1.01,2.38,prophet,exponential_smoothing,5.25,1.21,1.77,6.68,1.57,2.42,1.05,167.0,637.0,384.0,52.0,337.0,1755.0,675.0
DIANA,1.21,637.0,,,2024-05-01,TRADITIONAL,,,,,,,0.94,0.6,prophet,exponential_smoothing,5.25,1.21,1.77,6.68,1.57,2.42,1.05,167.0,637.0,384.0,52.0,337.0,1755.0,675.0
DINANT,1.77,384.0,,,2024-05-01,TRADITIONAL,,,,,,,0.99,1.2,prophet,prophet,5.25,1.21,1.77,6.68,1.57,2.42,1.05,167.0,637.0,384.0,52.0,337.0,1755.0,675.0
KELLOGGS,6.68,52.0,,,2024-05-01,TRADITIONAL,,,,,,,1.03,1.37,prophet,exponential_smoothing,5.25,1.21,1.77,6.68,1.57,2.42,1.05,167.0,637.0,384.0,52.0,337.0,1755.0,675.0
OTHERS,1.57,337.0,,,2024-05-01,TRADITIONAL,,,,,,,0.93,0.73,exponential_smoothing,exponential_smoothing,5.25,1.21,1.77,6.68,1.57,2.42,1.05,167.0,637.0,384.0,52.0,337.0,1755.0,675.0
PEPSICO,2.42,1755.0,,,2024-05-01,TRADITIONAL,,,,,,,1.02,0.9,prophet,exponential_smoothing,5.25,1.21,1.77,6.68,1.57,2.42,1.05,167.0,637.0,384.0,52.0,337.0,1755.0,675.0
SEÑORIAL,1.05,675.0,,,2024-05-01,TRADITIONAL,,,,,,,1.04,1.16,exponential_smoothing,exponential_smoothing,5.25,1.21,1.77,6.68,1.57,2.42,1.05,167.0,637.0,384.0,52.0,337.0,1755.0,675.0
BIMBO,9.21,577.0,,,2024-06-01,OT,,,,,,,0.76,3.51,exponential_smoothing,prophet,9.21,6.65,8.73,16.38,12.9,10.19,8.47,577.0,1111.0,277.0,910.0,1753.0,2529.0,903.0
DIANA,6.65,1111.0,,,2024-06-01,OT,,,,,,,0.78,1.14,exponential_smoothing,exponential_smoothing,9.21,6.65,8.73,16.38,12.9,10.19,8.47,577.0,1111.0,277.0,910.0,1753.0,2529.0,903.0
DINANT,8.73,277.0,,,2024-06-01,OT,,,,,,,0.52,1.2,exponential_smoothing,prophet,9.21,6.65,8.73,16.38,12.9,10.19,8.47,577.0,1111.0,277.0,910.0,1753.0,2529.0,903.0
KELLOGGS,16.38,910.0,,,2024-06-01,OT,,,,,,,0.82,0.98,exponential_smoothing,prophet,9.21,6.65,8.73,16.38,12.9,10.19,8.47,577.0,1111.0,277.0,910.0,1753.0,2529.0,903.0
OTHERS,12.9,1753.0,,,2024-06-01,OT,,,,,,,0.95,1.09,exponential_smoothing,exponential_smoothing,9.21,6.65,8.73,16.38,12.9,10.19,8.47,577.0,1111.0,277.0,910.0,1753.0,2529.0,903.0
PEPSICO,10.19,2529.0,,,2024-06-01,OT,,,,,,,0.89,1.32,exponential_smoothing,prophet,9.21,6.65,8.73,16.38,12.9,10.19,8.47,577.0,1111.0,277.0,910.0,1753.0,2529.0,903.0
SEÑORIAL,8.47,903.0,,,2024-06-01,OT,,,,,,,0.96,0.23,prophet,exponential_smoothing,9.21,6.65,8.73,16.38,12.9,10.19,8.47,577.0,1111.0,277.0,910.0,1753.0,2529.0,903.0
BIMBO,5.48,180.0,,,2024-06-01,TRADITIONAL,,,,,,,1.06,2.4,prophet,exponential_smoothing,5.48,1.23,1.84,6.87,1.64,2.41,1.06,180.0,630.0,391.0,52.0,340.0,1751.0,674.0
DIANA,1.23,630.0,,,2024-06-01,TRADITIONAL,,,,,,,0.93,0.6,prophet,exponential_smoothing,5.48,1.23,1.84,6.87,1.64,2.41,1.06,180.0,630.0,391.0,52.0,340.0,1751.0,674.0
DINANT,1.84,391.0,,,2024-06-01,TRADITIONAL,,,,,,,0.94,1.18,prophet,prophet,5.48,1.23,1.84,6.87,1.64,2.41,1.06,180.0,630.0,391.0,52.0,340.0,1751.0,674.0
KELLOGGS,6.87,52.0,,,2024-06-01,TRADITIONAL,,,,,,,0.97,1.51,prophet,exponential_smoothing,5.48,1.23,1.84,6.87,1.64,2.41,1.06,180.0,630.0,391.0,52.0,340.0,1751.0,674.0
OTHERS,1.64,340.0,,,2024-06-01,TRADITIONAL,,,,,,,0.96,0.75,exponential_smoothing,exponential_smoothing,5.48,1.23,1.84,6.87,1.64,2.41,1.06,180.0,630.0,391.0,52.0,340.0,1751.0,674.0
PEPSICO,2.41,1751.0,,,2024-06-01,TRADITIONAL,,,,,,,1.13,0.92,prophet,exponential_smoothing,5.48,1.23,1.84,6.87,1.64,2.41,1.06,180.0,630.0,391.0,52.0,340.0,1751.0,674.0
SEÑORIAL,1.06,674.0,,,2024-06-01,TRADITIONAL,,,,,,,1.2,1.26,exponential_smoothing,exponential_smoothing,5.48,1.23,1.84,6.87,1.64,2.41,1.06,180.0,630.0,391.0,52.0,340.0,1751.0,674.0
BIMBO,9.08,541.0,,,2024-07-01,OT,,,,,,,1.54,3.43,exponential_smoothing,prophet,9.08,6.81,8.61,16.6,12.71,10.33,8.19,541.0,1103.0,284.0,926.0,1750.0,2347.0,901.0
DIANA,6.81,1103.0,,,2024-07-01,OT,,,,,,,0.9,1.24,exponential_smoothing,exponential_smoothing,9.08,6.81,8.61,16.6,12.71,10.33,8.19,541.0,1103.0,284.0,926.0,1750.0,2347.0,901.0
DINANT,8.61,284.0,,,2024-07-01,OT,,,,,,,1.06,1.46,exponential_smoothing,prophet,9.08,6.81,8.61,16.6,12.71,10.33,8.19,541.0,1103.0,284.0,926.0,1750.0,2347.0,901.0
KELLOGGS,16.6,926.0,,,2024-07-01,OT,,,,,,,0.87,1.03,exponential_smoothing,prophet,9.08,6.81,8.61,16.6,12.71,10.33,8.19,541.0,1103.0,284.0,926.0,1750.0,2347.0,901.0
OTHERS,12.71,1750.0,,,2024-07-01,OT,,,,,,,1.02,1.14,exponential_smoothing,exponential_smoothing,9.08,6.81,8.61,16.6,12.71,10.33,8.19,541.0,1103.0,284.0,926.0,1750.0,2347.0,901.0
PEPSICO,10.33,2347.0,,,2024-07-01,OT,,,,,,,0.88,1.36,exponential_smoothing,prophet,9.08,6.81,8.61,16.6,12.71,10.33,8.19,541.0,1103.0,284.0,926.0,1750.0,2347.0,901.0
SEÑORIAL,8.19,901.0,,,2024-07-01,OT,,,,,,,0.81,0.5,prophet,exponential_smoothing,9.08,6.81,8.61,16.6,12.71,10.33,8.19,541.0,1103.0,284.0,926.0,1750.0,2347.0,901.0
BIMBO,5.34,191.0,,,2024-07-01,TRADITIONAL,,,,,,,1.13,2.38,prophet,exponential_smoothing,5.34,1.23,1.85,6.48,1.69,2.48,1.05,191.0,637.0,351.0,51.0,341.0,1756.0,679.0
DIANA,1.23,637.0,,,2024-07-01,TRADITIONAL,,,,,,,1.0,0.6,prophet,exponential_smoothing,5.34,1.23,1.85,6.48,1.69,2.48,1.05,191.0,637.0,351.0,51.0,341.0,1756.0,679.0
DINANT,1.85,351.0,,,2024-07-01,TRADITIONAL,,,,,,,0.96,1.15,prophet,prophet,5.34,1.23,1.85,6.48,1.69,2.48,1.05,191.0,637.0,351.0,51.0,341.0,1756.0,679.0
KELLOGGS,6.48,51.0,,,2024-07-01,TRADITIONAL,,,,,,,0.96,1.3,prophet,exponential_smoothing,5.34,1.23,1.85,6.48,1.69,2.48,1.05,191.0,637.0,351.0,51.0,341.0,1756.0,679.0
OTHERS,1.69,341.0,,,2024-07-01,TRADITIONAL,,,,,,,0.96,0.74,exponential_smoothing,exponential_smoothing,5.34,1.23,1.85,6.48,1.69,2.48,1.05,191.0,637.0,351.0,51.0,341.0,1756.0,679.0
PEPSICO,2.48,1756.0,,,2024-07-01,TRADITIONAL,,,,,,,0.99,0.92,prophet,exponential_smoothing,5.34,1.23,1.85,6.48,1.69,2.48,1.05,191.0,637.0,351.0,51.0,341.0,1756.0,679.0
SEÑORIAL,1.05,679.0,,,2024-07-01,TRADITIONAL,,,,,,,1.02,1.18,exponential_smoothing,exponential_smoothing,5.34,1.23,1.85,6.48,1.69,2.48,1.05,191.0,637.0,351.0,51.0,341.0,1756.0,679.0
BIMBO,9.55,514.0,,,2024-08-01,OT,,,,,,,1.18,2.88,exponential_smoothing,prophet,9.55,6.81,8.53,16.1,12.92,10.21,8.3,514.0,1113.0,274.0,781.0,1750.0,2375.0,901.0
DIANA,6.81,1113.0,,,2024-08-01,OT,,,,,,,0.89,1.2,exponential_smoothing,exponential_smoothing,9.55,6.81,8.53,16.1,12.92,10.21,8.3,514.0,1113.0,274.0,781.0,1750.0,2375.0,901.0
DINANT,8.53,274.0,,,2024-08-01,OT,,,,,,,0.95,1.35,exponential_smoothing,prophet,9.55,6.81,8.53,16.1,12.92,10.21,8.3,514.0,1113.0,274.0,781.0,1750.0,2375.0,901.0
KELLOGGS,16.1,781.0,,,2024-08-01,OT,,,,,,,0.84,0.99,exponential_smoothing,prophet,9.55,6.81,8.53,16.1,12.92,10.21,8.3,514.0,1113.0,274.0,781.0,1750.0,2375.0,901.0
OTHERS,12.92,1750.0,,,2024-08-01,OT,,,,,,,0.98,1.12,exponential_smoothing,exponential_smoothing,9.55,6.81,8.53,16.1,12.92,10.21,8.3,514.0,1113.0,274.0,781.0,1750.0,2375.0,901.0
PEPSICO,10.21,2375.0,,,2024-08-01,OT,,,,,,,0.94,1.39,exponential_smoothing,prophet,9.55,6.81,8.53,16.1,12.92,10.21,8.3,514.0,1113.0,274.0,781.0,1750.0,2375.0,901.0
SEÑORIAL,8.3,901.0,,,2024-08-01,OT,,,,,,,0.72,0.48,prophet,exponential_smoothing,9.55,6.81,8.53,16.1,12.92,10.21,8.3,514.0,1113.0,274.0,781.0,1750.0,2375.0,901.0
BIMBO,5.59,197.0,,,2024-08-01,TRADITIONAL,,,,,,,1.09,2.27,prophet,exponential_smoothing,5.59,1.25,1.85,6.27,1.72,2.52,1.06,197.0,626.0,356.0,52.0,336.0,1762.0,679.0
DIANA,1.25,626.0,,,2024-08-01,TRADITIONAL,,,,,,,0.94,0.6,prophet,exponential_smoothing,5.59,1.25,1.85,6.27,1.72,2.52,1.06,197.0,626.0,356.0,52.0,336.0,1762.0,679.0
DINANT,1.85,356.0,,,2024-08-01,TRADITIONAL,,,,,,,0.95,1.16,prophet,prophet,5.59,1.25,1.85,6.27,1.72,2.52,1.06,197.0,626.0,356.0,52.0,336.0,1762.0,679.0
KELLOGGS,6.27,52.0,,,2024-08-01,TRADITIONAL,,,,,,,0.94,1.37,prophet,exponential_smoothing,5.59,1.25,1.85,6.27,1.72,2.52,1.06,197.0,626.0,356.0,52.0,336.0,1762.0,679.0
OTHERS,1.72,336.0,,,2024-08-01,TRADITIONAL,,,,,,,0.99,0.76,exponential_smoothing,exponential_smoothing,5.59,1.25,1.85,6.27,1.72,2.52,1.06,197.0,626.0,356.0,52.0,336.0,1762.0,679.0
PEPSICO,2.52,1762.0,,,2024-08-01,TRADITIONAL,,,,,,,1.04,0.92,prophet,exponential_smoothing,5.59,1.25,1.85,6.27,1.72,2.52,1.06,197.0,626.0,356.0,52.0,336.0,1762.0,679.0
SEÑORIAL,1.06,679.0,,,2024-08-01,TRADITIONAL,,,,,,,1.02,1.17,exponential_smoothing,exponential_smoothing,5.59,1.25,1.85,6.27,1.72,2.52,1.06,197.0,626.0,356.0,52.0,336.0,1762.0,679.0
BIMBO,10.13,615.0,,,2024-09-01,OT,,,,,,,0.22,2.63,exponential_smoothing,prophet,10.13,6.38,8.66,16.22,13.2,10.25,10.47,615.0,1132.0,172.0,749.0,1749.0,2452.0,902.0
DIANA,6.38,1132.0,,,2024-09-01,OT,,,,,,,1.05,1.35,exponential_smoothing,exponential_smoothing,10.13,6.38,8.66,16.22,13.2,10.25,10.47,615.0,1132.0,172.0,749.0,1749.0,2452.0,902.0
DINANT,8.66,172.0,,,2024-09-01,OT,,,,,,,0.18,0.81,exponential_smoothing,prophet,10.13,6.38,8.66,16.22,13.2,10.25,10.47,615.0,1132.0,172.0,749.0,1749.0,2452.0,902.0
KELLOGGS,16.22,749.0,,,2024-09-01,OT,,,,,,,0.79,0.92,exponential_smoothing,prophet,10.13,6.38,8.66,16.22,13.2,10.25,10.47,615.0,1132.0,172.0,749.0,1749.0,2452.0,902.0
OTHERS,13.2,1749.0,,,2024-09-01,OT,,,,,,,0.93,0.87,exponential_smoothing,exponential_smoothing,10.13,6.38,8.66,16.22,13.2,10.25,10.47,615.0,1132.0,172.0,749.0,1749.0,2452.0,902.0
PEPSICO,10.25,2452.0,,,2024-09-01,OT,,,,,,,0.88,1.34,exponential_smoothing,prophet,10.13,6.38,8.66,16.22,13.2,10.25,10.47,615.0,1132.0,172.0,749.0,1749.0,2452.0,902.0
SEÑORIAL,10.47,902.0,,,2024-09-01,OT,,,,,,,1.03,0.33,prophet,exponential_smoothing,10.13,6.38,8.66,16.22,13.2,10.25,10.47,615.0,1132.0,172.0,749.0,1749.0,2452.0,902.0
BIMBO,6.61,207.0,,,2024-09-01,TRADITIONAL,,,,,,,1.12,2.33,prophet,exponential_smoothing,6.61,1.33,2.03,7.44,1.8,2.48,1.06,207.0,625.0,375.0,51.0,342.0,1768.0,690.0
DIANA,1.33,625.0,,,2024-09-01,TRADITIONAL,,,,,,,0.96,0.6,prophet,exponential_smoothing,6.61,1.33,2.03,7.44,1.8,2.48,1.06,207.0,625.0,375.0,51.0,342.0,1768.0,690.0
DINANT,2.03,375.0,,,2024-09-01,TRADITIONAL,,,,,,,0.84,1.09,prophet,prophet,6.61,1.33,2.03,7.44,1.8,2.48,1.06,207.0,625.0,375.0,51.0,342.0,1768.0,690.0
KELLOGGS,7.44,51.0,,,2024-09-01,TRADITIONAL,,,,,,,0.95,1.76,prophet,exponential_smoothing,6.61,1.33,2.03,7.44,1.8,2.48,1.06,207.0,625.0,375.0,51.0,342.0,1768.0,690.0
OTHERS,1.8,342.0,,,2024-09-01,TRADITIONAL,,,,,,,0.96,0.73,exponential_smoothing,exponential_smoothing,6.61,1.33,2.03,7.44,1.8,2.48,1.06,207.0,625.0,375.0,51.0,342.0,1768.0,690.0
PEPSICO,2.48,1768.0,,,2024-09-01,TRADITIONAL,,,,,,,1.31,0.89,prophet,exponential_smoothing,6.61,1.33,2.03,7.44,1.8,2.48,1.06,207.0,625.0,375.0,51.0,342.0,1768.0,690.0
SEÑORIAL,1.06,690.0,,,2024-09-01,TRADITIONAL,,,,,,,1.46,1.44,exponential_smoothing,exponential_smoothing,6.61,1.33,2.03,7.44,1.8,2.48,1.06,207.0,625.0,375.0,51.0,342.0,1768.0,690.0
