Month,Channel,Manufacturer,Model Selected,Training Period,Training Error (Units WAPE in %),Testing Period,Testing Error (Units WAPE in %)
Jul-22,TRADITIONAL,DIANA,ConstrainedRegression,Jan 19 - Nov 21,1.71,Dec 21 - Jul 22,3.92
Jul-22,OT,DINANT,ConstrainedRegression,Jan 19 - Nov 21,4.53,Dec 21 - Jul 22,4.51
Jul-22,TRADITIONAL,DINANT,ConstrainedRegression,Jan 19 - Nov 21,1.55,Dec 21 - Jul 22,1.72
Jul-22,OT,KELLOGGS,ConstrainedRegression,Jan 19 - Nov 21,8.5,Dec 21 - Jul 22,4.15
Jul-22,TRADITIONAL,KELLOGGS,ConstrainedRegression,Jan 19 - Nov 21,3.38,Dec 21 - Jul 22,2.67
Jul-22,OT,OTHERS,ConstrainedRegression,Jan 19 - Nov 21,3.17,Dec 21 - Jul 22,2.41
Jul-22,TRADITIONAL,OTHERS,ConstrainedRegression,Jan 19 - Nov 21,0.91,Dec 21 - Jul 22,2.49
Jul-22,OT,PEPSICO,ConstrainedRegression,Jan 19 - Nov 21,2.56,Dec 21 - Jul 22,4.36
Jul-22,TRADITIONAL,PEPSICO,ConstrainedRegression,Jan 19 - Nov 21,0.62,Dec 21 - Jul 22,0.33
Jul-22,OT,SEÑORIAL,ConstrainedRegression,Jan 19 - Nov 21,6.14,Dec 21 - Jul 22,5.63
Jul-22,TRADITIONAL,SEÑORIAL,ConstrainedRegression,Jan 19 - Nov 21,2.09,Dec 21 - Jul 22,1.92
Aug-22,OT,BIMBO,ConstrainedRegression,Jan 19 - Jan 22,59.53,Feb 22 - Aug 22,11.51
Aug-22,TRADITIONAL,BIMBO,ConstrainedRegression,Jan 19 - Jan 22,5.91,Feb 22 - Aug 22,1.67
Aug-22,OT,DIANA,ConstrainedRegression,Jan 19 - Jan 22,4.12,Feb 22 - Aug 22,3.54
Aug-22,TRADITIONAL,DIANA,ConstrainedRegression,Jan 19 - Jan 22,1.63,Feb 22 - Aug 22,2.65
Aug-22,OT,DINANT,ConstrainedRegression,Jan 19 - Jan 22,7.63,Feb 22 - Aug 22,2.99
Aug-22,TRADITIONAL,DINANT,ConstrainedRegression,Jan 19 - Jan 22,1.54,Feb 22 - Aug 22,1.58
Aug-22,OT,KELLOGGS,ConstrainedRegression,Jan 19 - Jan 22,6.65,Feb 22 - Aug 22,0.86
Aug-22,TRADITIONAL,KELLOGGS,ConstrainedRegression,Jan 19 - Jan 22,3.92,Feb 22 - Aug 22,3.36
Aug-22,OT,OTHERS,ConstrainedRegression,Jan 19 - Jan 22,3.29,Feb 22 - Aug 22,1.58
Aug-22,TRADITIONAL,OTHERS,ConstrainedRegression,Jan 19 - Jan 22,0.91,Feb 22 - Aug 22,2.49
Aug-22,OT,PEPSICO,ConstrainedRegression,Jan 19 - Jan 22,2.77,Feb 22 - Aug 22,3.13
Aug-22,TRADITIONAL,PEPSICO,ConstrainedRegression,Jan 19 - Jan 22,0.62,Feb 22 - Aug 22,0.37
Aug-22,OT,SEÑORIAL,ConstrainedRegression,Jan 19 - Jan 22,6.24,Feb 22 - Aug 22,7.63
Aug-22,TRADITIONAL,SEÑORIAL,ConstrainedRegression,Jan 19 - Jan 22,2.05,Feb 22 - Aug 22,1.04
Sep-22,OT,BIMBO,ConstrainedRegression,Jan 19 - Mar 22,47.09,Apr 22 - Sep 22,11.6
Sep-22,TRADITIONAL,BIMBO,ConstrainedRegression,Jan 19 - Mar 22,4.84,Apr 22 - Sep 22,2.59
Sep-22,OT,DIANA,ConstrainedRegression,Jan 19 - Mar 22,4.02,Apr 22 - Sep 22,3.34
Sep-22,TRADITIONAL,DIANA,ConstrainedRegression,Jan 19 - Mar 22,1.85,Apr 22 - Sep 22,2.21
Sep-22,OT,DINANT,ConstrainedRegression,Jan 19 - Mar 22,4.66,Apr 22 - Sep 22,3.44
Sep-22,TRADITIONAL,DINANT,ConstrainedRegression,Jan 19 - Mar 22,1.55,Apr 22 - Sep 22,1.46
Sep-22,OT,KELLOGGS,ConstrainedRegression,Jan 19 - Mar 22,3.16,Apr 22 - Sep 22,3.45
Sep-22,TRADITIONAL,KELLOGGS,ConstrainedRegression,Jan 19 - Mar 22,3.2,Apr 22 - Sep 22,2.84
Sep-22,OT,OTHERS,ConstrainedRegression,Jan 19 - Mar 22,3.22,Apr 22 - Sep 22,2.91
Sep-22,TRADITIONAL,OTHERS,ConstrainedRegression,Jan 19 - Mar 22,0.93,Apr 22 - Sep 22,2.16
Sep-22,OT,PEPSICO,ConstrainedRegression,Jan 19 - Mar 22,2.96,Apr 22 - Sep 22,2.15
Sep-22,TRADITIONAL,PEPSICO,ConstrainedRegression,Jan 19 - Mar 22,0.61,Apr 22 - Sep 22,0.28
Sep-22,OT,SEÑORIAL,ConstrainedRegression,Jan 19 - Mar 22,6.26,Apr 22 - Sep 22,10.23
Sep-22,TRADITIONAL,SEÑORIAL,ConstrainedRegression,Jan 19 - Mar 22,1.51,Apr 22 - Sep 22,0.68
Oct-22,OT,BIMBO,ConstrainedRegression,Jan 19 - May 22,47.93,Jun 22 - Oct 22,8.9
Oct-22,TRADITIONAL,BIMBO,ConstrainedRegression,Jan 19 - May 22,5.75,Jun 22 - Oct 22,3.07
Oct-22,OT,DIANA,ConstrainedRegression,Jan 19 - May 22,4.11,Jun 22 - Oct 22,2.34
Oct-22,TRADITIONAL,DIANA,ConstrainedRegression,Jan 19 - May 22,1.69,Jun 22 - Oct 22,1.38
Oct-22,OT,DINANT,ConstrainedRegression,Jan 19 - May 22,4.51,Jun 22 - Oct 22,3.46
Oct-22,TRADITIONAL,DINANT,ConstrainedRegression,Jan 19 - May 22,2.18,Jun 22 - Oct 22,4.06
