features,coef,Manufacturer,Channel
PEPSICO TDP,-0.0010000000000000002,DINANT,TRADITIONAL
SEÑORIAL TDP,-0.0010000000000000002,DINANT,TRADITIONAL
quarterly_index,22105.83330260899,DINANT,TRADITIONAL
intercept,-0.0010000000000000002,DINANT,TRADITIONAL
KELLOGGS PPU,-0.0010000000000000002,KELLOGGS,OT
BIMBO PPU,103.34238217424041,KELLOGGS,OT
DIANA PPU,0.0010000000000000002,KELLOGGS,OT
DINANT PPU,0.0010000000001121623,KELLOGGS,OT
OTHERS PPU,0.0010000000000000002,KELLOGGS,OT
PEPSICO PPU,0.0010000000000000002,KELLOGGS,OT
SEÑORIAL PPU,134.48204661062204,KELLOGGS,OT
KELLOGGS TDP,217.94584303280936,KELLOGGS,OT
BIMBO TDP,-43.63960618116044,KELLOGGS,OT
DIANA TDP,-169.86888352177414,KELLOGGS,OT
DINANT TDP,-0.0010000000000000002,KELLOGGS,OT
OTHERS TDP,-133.09113258715257,KELLOGGS,OT
PEPSICO TDP,-0.0010000000000000002,KELLOGGS,OT
SEÑORIAL TDP,-0.0010000000000000002,KELLOGGS,OT
quarterly_index,727.1411269113895,KELLOGGS,OT
intercept,505.3012738020236,KELLOGGS,OT
KELLOGGS PPU,-0.0010000000000000002,KELLOGGS,TRADITIONAL
BIMBO PPU,71.68560104732633,KELLOGGS,TRADITIONAL
DIANA PPU,0.0010000000000000002,KELLOGGS,TRADITIONAL
DINANT PPU,0.0010000000000000002,KELLOGGS,TRADITIONAL
OTHERS PPU,0.0010000000000000002,KELLOGGS,TRADITIONAL
PEPSICO PPU,346.78133668272466,KELLOGGS,TRADITIONAL
SEÑORIAL PPU,0.0010000000000000002,KELLOGGS,TRADITIONAL
KELLOGGS TDP,160.73336545075588,KELLOGGS,TRADITIONAL
BIMBO TDP,-70.76210997442762,KELLOGGS,TRADITIONAL
DIANA TDP,-0.0010000000000000002,KELLOGGS,TRADITIONAL
DINANT TDP,-0.0010000000000000002,KELLOGGS,TRADITIONAL
OTHERS TDP,-0.0010000000000000002,KELLOGGS,TRADITIONAL
PEPSICO TDP,-0.0010000000000000002,KELLOGGS,TRADITIONAL
SEÑORIAL TDP,-0.0010000000000000002,KELLOGGS,TRADITIONAL
quarterly_index,577.1101112976946,KELLOGGS,TRADITIONAL
intercept,-0.0010000000000000002,KELLOGGS,TRADITIONAL
OTHERS PPU,-172.80010982692227,OTHERS,OT
BIMBO PPU,94.46926137319615,OTHERS,OT
DIANA PPU,21.31831845864714,OTHERS,OT
DINANT PPU,205.87467851278288,OTHERS,OT
KELLOGGS PPU,256.1353554585177,OTHERS,OT
PEPSICO PPU,0.0010000000000870625,OTHERS,OT
SEÑORIAL PPU,0.0010000000000000002,OTHERS,OT
OTHERS TDP,236.83910771725883,OTHERS,OT
BIMBO TDP,-63.061400970863495,OTHERS,OT
DIANA TDP,-0.0010000002338642468,OTHERS,OT
DINANT TDP,-0.0010000000001858336,OTHERS,OT
KELLOGGS TDP,-0.0010000000000013297,OTHERS,OT
PEPSICO TDP,-0.001000000000000668,OTHERS,OT
SEÑORIAL TDP,-0.0010000000885695686,OTHERS,OT
quarterly_index,1184.5312553675594,OTHERS,OT
intercept,-465.6333184317626,OTHERS,OT
OTHERS PPU,-0.0010000000000000002,OTHERS,TRADITIONAL
BIMBO PPU,1495.6881411329039,OTHERS,TRADITIONAL
DIANA PPU,0.0010000119805171832,OTHERS,TRADITIONAL
DINANT PPU,0.0010000000000005406,OTHERS,TRADITIONAL
KELLOGGS PPU,969.1425579149571,OTHERS,TRADITIONAL
PEPSICO PPU,2576.401006155974,OTHERS,TRADITIONAL
SEÑORIAL PPU,0.001000000000070702,OTHERS,TRADITIONAL
OTHERS TDP,112.34384315861723,OTHERS,TRADITIONAL
BIMBO TDP,-282.31856456942364,OTHERS,TRADITIONAL
DIANA TDP,-0.0010000000000014572,OTHERS,TRADITIONAL
DINANT TDP,-198.98038423967085,OTHERS,TRADITIONAL
KELLOGGS TDP,-228.82091903331104,OTHERS,TRADITIONAL
PEPSICO TDP,-0.0010000000004581231,OTHERS,TRADITIONAL
SEÑORIAL TDP,-0.0010000003119523895,OTHERS,TRADITIONAL
quarterly_index,24289.794202245303,OTHERS,TRADITIONAL
intercept,9637.75242442627,OTHERS,TRADITIONAL
PEPSICO PPU,-1506.7637648361872,PEPSICO,OT
BIMBO PPU,285.7859923736564,PEPSICO,OT
DIANA PPU,0.0010000000000000002,PEPSICO,OT
DINANT PPU,0.0010000000000000002,PEPSICO,OT
KELLOGGS PPU,1131.8311493654883,PEPSICO,OT
OTHERS PPU,0.0010000000000000002,PEPSICO,OT
SEÑORIAL PPU,0.0010000000000000002,PEPSICO,OT
PEPSICO TDP,1261.004314822186,PEPSICO,OT
BIMBO TDP,-200.15162345031015,PEPSICO,OT
DIANA TDP,-815.6628466027457,PEPSICO,OT
DINANT TDP,-0.0010000000000000015,PEPSICO,OT
KELLOGGS TDP,-0.0010000000000000002,PEPSICO,OT
OTHERS TDP,-0.001000000000000009,PEPSICO,OT
SEÑORIAL TDP,-0.0010000000000000002,PEPSICO,OT
quarterly_index,2893.0695112227636,PEPSICO,OT
intercept,0.0010000000000000002,PEPSICO,OT
PEPSICO PPU,-5779.23920391694,PEPSICO,TRADITIONAL
BIMBO PPU,0.0010000000000078932,PEPSICO,TRADITIONAL
DIANA PPU,0.0010000000000365407,PEPSICO,TRADITIONAL
DINANT PPU,0.0010000000000000002,PEPSICO,TRADITIONAL
KELLOGGS PPU,2840.9178787712976,PEPSICO,TRADITIONAL
OTHERS PPU,3824.4241976510793,PEPSICO,TRADITIONAL
SEÑORIAL PPU,0.0010000000000028408,PEPSICO,TRADITIONAL
PEPSICO TDP,4958.411996360137,PEPSICO,TRADITIONAL
BIMBO TDP,-984.9267402468605,PEPSICO,TRADITIONAL
DIANA TDP,-0.0010000000007219872,PEPSICO,TRADITIONAL
DINANT TDP,-163.01614445195892,PEPSICO,TRADITIONAL
KELLOGGS TDP,-0.001000000000003839,PEPSICO,TRADITIONAL
OTHERS TDP,-0.001000000001110147,PEPSICO,TRADITIONAL
SEÑORIAL TDP,-15523.821841501449,PEPSICO,TRADITIONAL
monthly_index,21489.88004926934,PEPSICO,TRADITIONAL
quarterly_index,99322.78422631657,PEPSICO,TRADITIONAL
intercept,81035.63033983692,PEPSICO,TRADITIONAL
SEÑORIAL PPU,-0.12210945818081646,SEÑORIAL,OT
BIMBO PPU,0.0010000000000000002,SEÑORIAL,OT
DIANA PPU,340.26764087913193,SEÑORIAL,OT
DINANT PPU,0.0010000000000000072,SEÑORIAL,OT
KELLOGGS PPU,25.255079781071625,SEÑORIAL,OT
OTHERS PPU,0.0010000000000000018,SEÑORIAL,OT
PEPSICO PPU,0.0010000000000000002,SEÑORIAL,OT
SEÑORIAL TDP,1261.9336239072395,SEÑORIAL,OT
BIMBO TDP,-414.0154745129349,SEÑORIAL,OT
DIANA TDP,-0.0010000000000000002,SEÑORIAL,OT
DINANT TDP,-0.0010000000000000124,SEÑORIAL,OT
KELLOGGS TDP,-0.0010000000000004326,SEÑORIAL,OT
OTHERS TDP,-145.1870319416593,SEÑORIAL,OT
PEPSICO TDP,-0.001000000000010927,SEÑORIAL,OT
monthly_index,572.2789429421325,SEÑORIAL,OT
quarterly_index,1103.2583430158015,SEÑORIAL,OT
intercept,-1708.4598825434414,SEÑORIAL,OT
SEÑORIAL PPU,-0.0010000000000005822,SEÑORIAL,TRADITIONAL
BIMBO PPU,1744.4067881754088,SEÑORIAL,TRADITIONAL
DIANA PPU,0.0010000002148977541,SEÑORIAL,TRADITIONAL
DINANT PPU,0.001000000000000003,SEÑORIAL,TRADITIONAL
KELLOGGS PPU,0.0010000000000000104,SEÑORIAL,TRADITIONAL
OTHERS PPU,0.0010000000000128407,SEÑORIAL,TRADITIONAL
PEPSICO PPU,6171.482924366737,SEÑORIAL,TRADITIONAL
SEÑORIAL TDP,2864.23743679941,SEÑORIAL,TRADITIONAL
BIMBO TDP,-1315.012827119479,SEÑORIAL,TRADITIONAL
DIANA TDP,-0.001000000010368574,SEÑORIAL,TRADITIONAL
DINANT TDP,-0.0010000000000000224,SEÑORIAL,TRADITIONAL
KELLOGGS TDP,-1835.887027386961,SEÑORIAL,TRADITIONAL
OTHERS TDP,-0.0010000000000041725,SEÑORIAL,TRADITIONAL
PEPSICO TDP,-0.0010000000000014353,SEÑORIAL,TRADITIONAL
quarterly_index,46261.78138961133,SEÑORIAL,TRADITIONAL
intercept,16723.01274970309,SEÑORIAL,TRADITIONAL
